x,y,class
-0.09380315089598279,-0.0,1.0
-0.2135458334625742,-0.005378884792644171,1.0
-0.024295033810612706,-0.0012246846439835782,1.0
0.16930385171288573,0.012815182286621459,1.0
0.005877594795148205,0.0005940751300832108,1.0
0.2184737066177994,0.0276555458575182,1.0
0.27962104919799885,0.04257486183977868,1.0
0.41963002394792936,0.07474900619017562,1.0
0.5744450739950812,0.11732210115387974,1.0
0.24365518677872047,0.0561894006301111,1.0
-0.13607015378734813,-0.03500993826465623,1.0
0.16686914092957367,0.04744496526921137,1.0
0.3011229303509398,0.09387369938333917,1.0
-0.21148764388848837,-0.07182131829811327,1.0
0.7218521197969072,0.26559559996199045,1.0
0.39081675964986384,0.15507694769185684,1.0
0.47590534865461365,0.20285509745287553,1.0
0.7621626558803313,0.3478044582396891,1.0
0.23756579499002983,0.115724612560261,1.0
0.5776165074022315,0.29959765622825013,1.0
0.4122514730809438,0.22717824335272088,1.0
0.40891819933320306,0.2389582584335358,1.0
0.2741478786853553,0.16960476092676652,1.0
0.9029191694542167,0.5905470856746703,1.0
0.4046301910838099,0.2794407401714529,1.0
0.6784807845806786,0.4942516140156857,1.0
0.07317891492067907,0.05618266187184543,1.0
0.80400036506647,0.6500894458139678,1.0
0.7773617032641859,0.6616054198569024,1.0
0.5658329202251866,0.5066898934044619,1.0
0.500389087730813,0.4713214759163534,1.0
0.6398744454381539,0.6338600396659303,1.0
1.0335411893539213,1.076725972451532,1.0
0.20362825485742006,0.22312047567570018,1.0
0.714815989545547,0.823988247259416,1.0
0.38667873878441333,0.4690955337538052,1.0
0.5551695594023607,0.709152006655105,1.0
0.5113686176753987,0.6882264571756226,1.0
0.4772021171327587,0.6772211072797151,1.0
0.5435838319677914,0.8142240793718728,1.0
0.35630013128073357,0.5639472870954008,1.0
0.6876213768232106,1.1515899227412343,1.0
0.2549892103310381,0.45255515195248547,1.0
0.5835536881518327,1.0995451500203555,1.0
0.45090811720525237,0.9038671041700237,1.0
0.33133890217490347,0.7082934949780969,1.0
0.4886120627119167,1.1169402858008834,1.0
0.2705497557075933,0.6634792968700696,1.0
0.43231454814801795,1.1415869162659837,1.0
0.26674255412223447,0.7617569548523727,1.0
0.4285141374614533,1.330220016880237,1.0
0.2845429236212761,0.9659955085705595,1.0
0.3033162701552504,1.134371980876478,1.0
0.33282022348525137,1.3834179625303107,1.0
0.23617117539434454,1.1031271782958485,1.0
0.2525554536266737,1.3441610771549257,1.0
0.1528367727018174,0.9438100638342205,1.0
0.21924712427621398,1.6098385496836662,1.0
0.2188175031672432,1.978027935931017,1.0
0.19724064522842535,2.3150789141873434,1.0
0.09195289956125668,1.53558622463644,1.0
0.06136821845812413,1.771568198447703,1.0
0.00970005789651966,1.0271191572408578,1.0
-0.03206552398703435,2.0371037148992706,1.0
-0.07546415364462111,1.8430431195015453,1.0
-0.0985394541637543,1.4884637560673444,1.0
-0.1853542101039185,2.024773072570109,1.0
-0.1872035654044916,1.6000110597318216,1.0
-0.2223673698770132,1.5592676393742373,1.0
-0.3122415363918359,1.8541274144936195,1.0
-0.27554173060123566,1.4172746566914753,1.0
-0.4513631377515765,2.0452754196471443,1.0
-0.3591641465028691,1.4526439853663198,1.0
-0.402757374576187,1.4691436138151992,1.0
-0.459043319189338,1.5229656693644604,1.0
-0.6616594559106701,2.0105050745036532,1.0
-0.5816426021046489,1.6281063349715184,1.0
-0.5525423821494116,1.4317830341214375,1.0
-0.6834590564507657,1.6463503276067981,1.0
-0.8048990851603625,1.808854466415641,1.0
-0.7129931658166968,1.499475113542333,1.0
